Letra	Categoria
J	Translation, ribosomal structure and biogenesis
A	RNA processing and modification
K	Transcription
L	Replication,recombination and repair
B	Chromatin structure and dynamics
D	Cell cycle control, cell division, chromosome partitioning
Y	Nuclear structure
V	Defense mechanisms
T	Signal transduction mechanisms
M	Cell wall/membrane/envelope biogenesis
N	Cell motitlity
Z 	Citoskeleton
W	Extracellular structures
U	Intracellular trafficking, secretion and vesicular transport
O	Posttranslational modification, protein turnover, chaperones
X	Mobilome: Prophages, transposons
C	Energy production and conversion
G	Carbohydrate transport and conversion
E	Amino acid transport and metabolism
F	Nucleotide transport and metabolism
H	Coenzyme transport and metabolism
I	Lipid transport and metabolism
P	Inorganic ion transport and metabolism
Q	Secondary metabolytes biosynthesis, transport and catabolism
R	General function prediction only
S	Function unknown
