annot	ERR2098365	ERR2098366	ERR2098367	ERR2098368	ERR2098369	ERR2098370	ERR2098371	ERR2098372	ERR2098373	ERR2098374	ERR2098375	ERR2098376	ERR2098377	ERR2098378	ERR2098379	ERR2098380	ERR2098381	ERR2098382	ERR2098383	ERR2098384	ERR2098385	ERR2098386	ERR2098387	ERR2098388	ERR2098389	ERR2098390	ERR2098391	ERR2098392	ERR2098393	ERR2098394	ERR2098395	ERR2098396	ERR2098397	ERR2098398	ERR2098399	ERR2098400	ERR2098401	ERR2098402	ERR2098403	ERR2098404	ERR2098405	ERR2098406	ERR2098407	ERR2098408	ERR2098409	ERR2098410	ERR2098411	ERR2196983	ERR2196984	ERR2196985
COG0001	1404.891627	1457.233009	1391.616794	1439.062327	1263.967133	1629.208712	1428.203152	1515.383016	1465.450333	1519.023512	922.048895	1099.262760	1652.297723	300.341262	1873.373026	1766.629404	1279.391853	446.668885	433.198969	332.548980	486.236856	318.627855	225.197054	1829.094036	1999.465234	1894.817357	966.121278	827.762520	891.932619	379.258948	332.257020	306.812269	535.622122	1867.929111	1794.925926	1938.822585	1929.933796	857.524879	801.234860	743.612112	1022.854714	283.552983	262.838293	1569.206472	1716.239371	468.526935	562.790872	373.356244	1703.097699	843.957676
COG0002	1323.093327	1546.180697	1256.537321	1289.369532	1124.806122	1507.003346	1267.752237	1404.546719	1317.150182	1319.980388	874.013618	1030.713647	1612.257515	240.599764	1849.885630	1673.041511	1175.607707	270.446117	261.128473	172.604298	401.817432	240.848964	220.874500	1531.311431	1741.763251	1932.061099	837.510513	679.928242	760.645660	309.579838	285.367758	252.161708	415.458521	1949.714612	1813.097976	2023.275028	2032.542757	724.595053	683.371148	614.146095	932.737987	241.955774	263.489545	1861.518005	1894.344562	385.819610	495.722254	308.467084	1751.045451	736.446915
COG0003	134.124267	122.024267	138.765700	149.721311	156.633791	131.674476	139.805199	138.213411	137.302741	135.132646	150.934885	137.449013	143.223955	106.001609	125.785880	154.700914	136.302589	155.494301	188.995829	157.056420	132.632580	101.991254	87.967272	118.484926	114.195405	114.493196	155.593364	165.835924	173.469322	104.914220	95.810454	110.534028	131.621461	117.162151	128.494996	101.231863	103.185924	159.728676	150.068785	165.605096	141.420288	112.716390	118.003470	94.811338	109.151959	141.947637	151.253071	117.460049	105.853030	149.317374
COG0004	3865.530489	4204.326670	3648.294133	3985.447350	3479.375893	4535.283403	3720.733958	4205.494642	3867.707327	3988.573436	2191.661233	2654.522139	4693.318219	534.376311	5017.951695	4171.238091	3327.096524	859.908079	849.003608	596.307393	1071.338259	648.406070	512.030591	5209.505042	5423.028188	5080.153066	2186.706761	1790.047076	1999.012337	733.560785	702.593569	605.902332	1116.011741	4684.791775	4566.591365	4924.804117	5045.350385	2096.077975	1807.438611	1669.078131	2473.567408	775.630517	823.467807	4522.222622	4870.162553	1110.899156	1401.976962	751.952892	4493.132089	1972.573833
COG0005	829.813563	907.828527	790.405755	863.998845	708.512962	927.503951	780.864431	897.955691	801.517262	841.009452	501.359900	619.513087	1022.136141	150.863564	1153.787671	993.880986	698.480575	178.576801	169.725470	176.823081	238.833242	179.728208	118.498432	1008.641010	1109.987409	1143.746262	502.792466	434.055989	496.426112	189.503675	179.327781	159.033321	273.188544	1014.889894	992.731213	1133.619339	1116.409585	453.750318	428.136356	365.272471	587.570469	193.777651	180.901053	867.922140	946.652191	245.107109	296.481408	195.715032	988.461512	459.932191
COG0006	4304.360769	4864.751676	4250.030250	4332.174248	3734.988668	4962.724261	4190.775537	4643.456316	4193.687092	4497.721697	2500.740823	3053.138613	5385.508408	459.433873	6028.339175	5103.294096	3732.723355	771.827063	739.957125	516.783972	956.242400	592.053456	425.218835	5500.845790	5969.501884	6150.907721	2566.428616	2024.932406	2293.322053	740.450203	634.112817	540.966017	1067.424981	5718.094795	5343.621127	6221.370167	6234.008025	2327.713051	1980.726847	1790.177202	2925.870047	570.190420	546.736754	5063.325808	5461.935991	1031.834572	1396.421660	719.880581	5387.281749	2145.275966
COG0007	365.960275	404.590502	395.461045	417.322390	383.783482	406.609066	436.763689	387.376172	426.337888	452.378435	262.908171	302.967754	390.245819	50.223033	485.350512	544.038814	319.744929	133.143945	132.792918	108.594343	111.163359	74.528819	53.324310	476.713450	490.403538	498.639301	286.046402	243.019032	241.756161	87.048078	62.629892	71.122211	144.802025	426.184835	397.365937	422.241445	410.354710	256.160593	210.511843	221.153030	243.388056	50.680909	43.423194	422.461927	426.569159	133.068501	144.352513	89.170977	434.456001	238.532599
COG0008	3040.787156	3412.953459	3132.976329	3120.565754	2726.263606	3545.040819	3110.266403	3300.070734	3169.424078	3300.069220	1931.933823	2279.530523	3734.215282	428.951829	4422.385388	3984.388901	2578.791411	796.723936	751.216131	479.476526	865.594604	549.898222	374.930326	3959.447170	4346.967786	4302.502892	2051.264604	1695.178232	1871.468461	665.507058	657.468287	506.202889	952.396894	4090.749512	3966.825777	4340.315002	4332.416157	1783.862763	1565.938461	1477.871873	2188.786821	489.299915	488.282271	3741.325362	4007.011608	944.158539	1191.357929	658.444316	3837.605664	1737.796153
COG0009	1338.615462	1539.856116	1318.049369	1401.822246	1168.930891	1601.379385	1349.888186	1445.476586	1445.956783	1427.902697	842.303879	1041.265172	1596.384308	126.559567	1887.215087	1705.341242	1158.195390	279.562512	246.392975	152.246082	362.038101	187.875435	109.505007	1661.450481	1882.229208	2029.881537	853.111062	692.779093	752.628745	225.635993	215.044190	178.595757	381.777714	1949.026276	1802.696517	2020.101815	2066.399915	797.791651	669.106736	602.358756	947.334450	145.263201	153.834236	1843.205779	2011.563853	362.083482	488.049358	242.308893	1805.473594	733.253308
COG0010	1968.183302	2165.543125	1982.914174	1993.185343	1743.070207	2297.595625	2003.960229	2094.333112	2016.260660	2046.982631	1123.507738	1383.180177	2384.481387	343.688459	2675.126365	2320.282714	1631.758184	306.847580	294.363691	210.626273	447.937474	262.930780	208.693807	2475.625652	2634.637339	2694.205521	1183.348089	873.096035	1035.995502	359.526617	362.363354	310.699552	555.149736	2476.561401	2397.229182	2619.008691	2636.561018	1032.199571	926.794503	803.152857	1303.903699	352.654176	368.964519	2275.043342	2437.367820	484.059427	627.420268	360.530144	2317.987901	987.796052
