annot	ERR2098365	ERR2098366	ERR2098367	ERR2098368	ERR2098369	ERR2098370	ERR2098371	ERR2098372	ERR2098373	ERR2098374	ERR2098375	ERR2098376	ERR2098377	ERR2098378	ERR2098379	ERR2098380	ERR2098381	ERR2098382	ERR2098383	ERR2098384	ERR2098385	ERR2098386	ERR2098387	ERR2098388	ERR2098389	ERR2098390	ERR2098391	ERR2098392	ERR2098393	ERR2098394	ERR2098395	ERR2098396	ERR2098397	ERR2098398	ERR2098399	ERR2098400	ERR2098401	ERR2098402	ERR2098403	ERR2098404	ERR2098405	ERR2098406	ERR2098407	ERR2098408	ERR2098409	ERR2098410	ERR2098411	ERR2196983	ERR2196984	ERR2196985
K00001	0.259621	0.256626	0.257345	0.260294	0.246380	0.251052	0.231636	0.248936	0.231095	0.248546	0.229201	0.218195	0.263456	0.115370	0.251977	0.237607	0.242338	0.159267	0.121397	0.122578	0.161406	0.122933	0.098869	0.252824	0.248994	0.252203	0.224683	0.196229	0.207622	0.143858	0.142812	0.098206	0.153287	0.240502	0.245608	0.259419	0.241961	0.208064	0.229749	0.213070	0.245647	0.097455	0.116373	0.234456	0.229917	0.151350	0.189576	0.143379	0.248254	0.228929
K00002	0.006845	0.005998	0.012486	0.009689	0.011395	0.004050	0.007943	0.009422	0.010800	0.006680	0.021855	0.014640	0.006806	0.096514	0.004796	0.008818	0.011680	0.061832	0.077245	0.065012	0.056281	0.066405	0.073112	0.005398	0.002920	0.003440	0.016323	0.026644	0.019126	0.052007	0.054969	0.072753	0.040295	0.001536	0.003316	0.002994	0.002904	0.019468	0.017667	0.024804	0.012579	0.059234	0.062827	0.003890	0.001436	0.022666	0.019874	0.058307	0.004843	0.020045
K00003	0.747514	0.761948	0.738806	0.740309	0.762725	0.757649	0.742843	0.749258	0.743385	0.773984	0.712902	0.745977	0.769413	0.392872	0.780026	0.776705	0.737647	0.490693	0.442433	0.389708	0.544205	0.460106	0.354368	0.758810	0.761293	0.797682	0.690426	0.658273	0.701210	0.480786	0.444599	0.425388	0.488961	0.811736	0.786832	0.813532	0.806793	0.708419	0.650641	0.670305	0.711195	0.352702	0.339941	0.800898	0.805987	0.580537	0.635103	0.487520	0.792062	0.678386
K00004	0.004028	0.004209	0.004213	0.004809	0.005496	0.004345	0.004627	0.004098	0.005585	0.005857	0.004683	0.005099	0.004571	0.002685	0.003922	0.006586	0.002558	0.006247	0.010195	0.007528	0.006947	0.004389	0.002341	0.004416	0.005316	0.004163	0.005418	0.006258	0.006364	0.007753	0.006017	0.003853	0.005232	0.003845	0.005173	0.003395	0.004158	0.003245	0.004805	0.005910	0.004444	0.002538	0.002645	0.002873	0.002622	0.004031	0.001682	0.007123	0.003182	0.005001
K00005	0.051319	0.047434	0.071725	0.067280	0.077490	0.053226	0.082923	0.064207	0.083472	0.086665	0.059618	0.067508	0.049303	0.022807	0.054235	0.125282	0.057686	0.047891	0.042455	0.024116	0.040297	0.029012	0.010674	0.057490	0.055089	0.052574	0.089493	0.075159	0.081819	0.038678	0.029188	0.028562	0.050345	0.059929	0.053807	0.049154	0.050008	0.070021	0.072473	0.063513	0.054146	0.009567	0.011401	0.039552	0.032961	0.039995	0.053321	0.038142	0.059033	0.069477
K00007	0.015196	0.016402	0.016501	0.016749	0.021019	0.013782	0.018222	0.013685	0.017785	0.017992	0.015302	0.014913	0.016255	0.014808	0.019519	0.019335	0.016551	0.015935	0.014465	0.020179	0.019155	0.013656	0.006407	0.015303	0.016422	0.014270	0.013179	0.016766	0.016745	0.014572	0.007525	0.013984	0.012210	0.013920	0.014210	0.016429	0.011279	0.016569	0.015153	0.016168	0.015087	0.009154	0.010969	0.011809	0.014407	0.017043	0.013151	0.011421	0.015680	0.015956
K00008	0.078171	0.068500	0.070553	0.078378	0.077063	0.071061	0.071628	0.073647	0.068854	0.077691	0.071482	0.082949	0.068934	0.096202	0.076376	0.087025	0.071822	0.069568	0.049074	0.056375	0.086079	0.103222	0.116296	0.075687	0.076306	0.065885	0.072165	0.068979	0.067705	0.084877	0.095284	0.098724	0.087512	0.064824	0.067801	0.075596	0.064170	0.061479	0.057164	0.067641	0.070935	0.114780	0.095823	0.064132	0.060493	0.071802	0.059115	0.094506	0.071209	0.070703
K00009	0.015153	0.017504	0.019472	0.020282	0.018263	0.016001	0.019688	0.020637	0.018932	0.016691	0.016338	0.013781	0.016619	0.009140	0.016025	0.012637	0.016129	0.004788	0.010600	0.005816	0.012727	0.013676	0.011959	0.017226	0.015397	0.018885	0.013158	0.011434	0.014143	0.008882	0.007892	0.007736	0.009017	0.016561	0.018880	0.018169	0.017722	0.013976	0.010378	0.012664	0.011643	0.005722	0.012500	0.013171	0.011095	0.007367	0.008303	0.012026	0.015730	0.013974
K00010	0.216877	0.222359	0.214115	0.211663	0.218908	0.208594	0.217592	0.216618	0.214903	0.209371	0.224159	0.219302	0.208829	0.126094	0.213266	0.201674	0.214210	0.223379	0.253873	0.228748	0.173555	0.157202	0.130814	0.201167	0.200585	0.218691	0.197367	0.219267	0.199779	0.141534	0.142959	0.128384	0.168435	0.203208	0.203074	0.222066	0.221458	0.204406	0.206093	0.195336	0.194992	0.168721	0.152358	0.232069	0.228407	0.219022	0.239286	0.153903	0.210746	0.206044
K00011	0.000172	0.000096	0.000092	0.000072	0.000155	0.000188	0.000107	0.000155	0.000000	0.000140	0.000077	0.000542	0.000187	0.002832	0.000037	0.000537	0.000502	0.000545	0.000000	0.002066	0.003257	0.002644	0.007742	0.000159	0.000049	0.000132	0.000241	0.001024	0.000468	0.001746	0.001296	0.004556	0.001946	0.000101	0.000089	0.000000	0.000000	0.000692	0.000271	0.000440	0.000345	0.004108	0.003229	0.000000	0.000000	0.000269	0.000000	0.000901	0.000164	0.000499
K00012	1.006674	1.054722	0.947491	0.993377	1.059293	1.013381	1.011884	0.996042	0.986649	0.990970	0.944987	1.036962	0.983718	0.830689	1.068075	1.070684	0.962176	0.934151	0.869552	0.829444	1.003437	0.847154	0.725913	0.969349	0.965628	1.000928	1.099437	1.030905	1.166171	0.834663	0.829986	0.896796	0.912711	1.110020	1.148544	1.090268	1.043651	1.058867	1.069650	1.035286	1.113526	0.674042	0.730066	1.078953	1.111908	0.992681	0.952871	0.896541	1.052236	1.106451
K00013	0.823830	0.872276	0.834849	0.844916	0.830811	0.851869	0.870037	0.851708	0.857616	0.877614	0.797359	0.803080	0.832498	0.347722	0.862646	0.867139	0.831112	0.563575	0.507037	0.455020	0.546033	0.441835	0.358393	0.858175	0.870394	0.870561	0.795483	0.749926	0.758607	0.516058	0.425254	0.402908	0.575622	0.858824	0.853231	0.857315	0.878414	0.765469	0.763338	0.719531	0.775728	0.350506	0.392959	0.893209	0.879312	0.663382	0.677794	0.495312	0.877576	0.761992
K00014	0.701577	0.729299	0.702169	0.688227	0.689926	0.725353	0.684423	0.693043	0.699440	0.687394	0.702138	0.688208	0.722780	0.387327	0.731241	0.714116	0.710460	0.443282	0.360242	0.370175	0.509437	0.413141	0.294990	0.698831	0.740899	0.735561	0.678217	0.643951	0.681351	0.413925	0.397081	0.396306	0.482053	0.767931	0.771768	0.782093	0.761024	0.648392	0.649119	0.615005	0.691573	0.319628	0.275777	0.766698	0.756776	0.522817	0.572085	0.440291	0.784358	0.650494
