annot	ERR2098365	ERR2098366	ERR2098367	ERR2098368	ERR2098369	ERR2098370	ERR2098371	ERR2098372	ERR2098373	ERR2098374	ERR2098375	ERR2098376	ERR2098377	ERR2098378	ERR2098379	ERR2098380	ERR2098381	ERR2098382	ERR2098383	ERR2098384	ERR2098385	ERR2098386	ERR2098387	ERR2098388	ERR2098389	ERR2098390	ERR2098391	ERR2098392	ERR2098393	ERR2098394	ERR2098395	ERR2098396	ERR2098397	ERR2098398	ERR2098399	ERR2098400	ERR2098401	ERR2098402	ERR2098403	ERR2098404	ERR2098405	ERR2098406	ERR2098407	ERR2098408	ERR2098409	ERR2098410	ERR2098411	ERR2196983	ERR2196984	ERR2196985
K00001	532.575785	587.998960	513.083788	538.260987	436.495729	588.086970	460.374821	546.194976	465.638078	516.740755	298.011732	333.953103	680.572286	44.690304	713.195884	561.883923	433.370586	82.435376	59.964079	44.515033	107.453177	55.242889	33.564050	661.538406	716.321826	723.186033	295.413763	214.064818	247.778694	74.398729	68.303080	42.646181	106.545253	670.337905	645.546726	750.518277	712.688713	250.440954	245.683961	208.275560	363.586738	44.546570	52.615529	593.112566	635.171227	100.510893	158.953535	73.481720	631.136577	263.696034
K00002	14.041630	13.742771	24.894974	20.036457	20.187639	9.486873	15.786110	20.672669	21.760486	13.888965	28.415773	22.406392	17.582129	37.386148	13.575369	20.853478	20.886530	32.003725	38.155192	23.609611	37.467934	29.840476	24.820104	14.124369	8.401860	9.863823	21.462171	29.065400	22.825082	26.896475	26.290156	31.593088	28.008107	4.282512	8.714739	8.660496	8.553105	23.432623	18.892271	24.245602	18.619123	27.075951	28.405919	9.841891	3.967253	15.052659	16.663732	29.882255	12.311115	23.089329
K00003	1533.417645	1745.830112	1472.999607	1530.885849	1351.273512	1774.786375	1476.397554	1643.959664	1497.863316	1609.151929	926.929724	1141.735321	1987.588579	152.185399	2207.784805	1836.723266	1319.126519	253.979136	218.539195	141.525315	362.294387	206.759119	120.300615	1985.501273	2190.131452	2287.334404	907.774240	718.105763	836.833890	248.647969	212.639162	184.726543	339.861799	2262.507288	2068.081709	2353.605843	2376.384179	852.703896	695.769654	655.222650	1052.651626	161.219220	153.697697	2026.065855	2226.629462	385.531963	532.515647	249.853624	2013.659082	781.410771
K00004	8.261930	9.644577	8.398904	9.945225	9.737504	10.178652	9.196039	8.991950	11.253555	12.176559	6.088530	7.803908	11.807632	1.040005	11.100951	15.574359	4.573696	3.233618	5.035661	2.733913	4.625128	1.972190	0.794752	11.554301	15.292199	11.937416	7.123288	6.826946	7.594434	4.009420	2.877653	1.673372	3.636730	10.716255	13.595293	9.821525	12.246850	3.905594	5.137857	5.777174	6.577634	1.160013	1.195775	7.268866	7.244322	2.677174	1.410642	3.650528	8.089573	5.760499
K00005	105.273335	108.683651	143.002395	139.127872	137.284205	124.681307	164.808271	140.877456	168.189694	180.181002	77.516613	103.322935	127.361124	8.834552	153.506189	296.262762	103.159255	24.787834	20.970356	8.757852	26.826970	13.037274	3.623464	150.429271	158.483421	150.755761	117.665845	81.990009	97.643491	20.003283	13.960018	12.402989	34.993248	167.036846	141.423789	142.206949	147.297232	84.282851	77.499896	62.084353	80.142974	4.372921	5.154883	100.057364	91.058013	26.560696	44.707826	19.547508	150.080133	80.027967
K00007	31.173062	37.581603	32.899208	34.634337	37.238851	32.283100	36.216973	30.026682	35.834601	37.405317	19.895630	22.824962	41.989885	5.735992	55.245535	45.722725	29.597956	8.247633	7.144730	7.327972	12.752200	6.136821	2.174960	40.040894	47.244753	40.920032	17.327506	18.290327	19.984072	7.536130	3.598781	6.072743	8.486809	38.799520	37.349863	47.530607	33.220764	19.943988	16.203630	15.803785	22.330639	4.184376	4.959537	29.873279	39.801213	11.318298	11.026569	5.853260	39.863472	18.379003
K00008	160.356755	156.952694	140.665142	162.078501	136.528222	166.460297	142.359542	161.590140	138.735318	161.524337	92.942797	126.955555	178.074519	37.265231	216.175808	205.793749	128.439109	36.007881	24.239941	20.472993	57.305720	46.385243	39.480163	198.041284	219.520164	188.922597	94.882835	75.248927	80.800564	43.895991	45.571853	42.871262	60.827073	180.679213	178.205891	218.704467	189.011627	74.000534	61.129262	66.119407	104.992453	52.465743	43.324536	162.237624	167.118674	47.683107	49.566592	48.434167	181.033316	81.440206
K00009	31.084774	40.105318	38.823115	41.942098	32.355063	37.483017	39.130636	45.280804	38.146761	34.701670	21.242364	21.092674	42.931440	3.540393	45.355722	29.882407	28.843121	2.478493	5.235971	2.112265	8.472795	6.145697	4.059913	45.074656	44.294983	54.152211	17.300759	12.472795	16.878904	4.593454	3.774748	3.359476	6.267218	46.160136	49.624220	52.563559	52.198649	16.822133	11.097997	12.379500	17.233421	2.615561	5.651519	33.318480	30.650007	4.892574	6.961973	6.163402	39.989350	16.096608
K00010	444.892609	509.483875	426.893360	437.697975	387.826493	488.630444	432.462438	475.284405	433.013265	435.293837	291.455518	335.646470	539.457583	48.844400	603.626363	476.912318	383.069183	115.619218	125.400436	83.071517	115.540812	70.642130	44.408636	526.373743	577.055551	627.091038	259.499156	239.196655	238.419249	73.197134	68.373225	55.751393	117.074025	566.388997	533.751751	642.451819	652.297746	246.037189	220.387842	190.940518	288.610645	77.122012	68.885619	587.075520	631.001063	145.451955	200.634614	78.875360	535.780079	237.336022
K00011	0.353031	0.219208	0.183389	0.149357	0.274993	0.441534	0.212617	0.339430	0.000000	0.291557	0.100172	0.829777	0.482252	1.097133	0.105003	1.269305	0.896962	0.282099	0.000000	0.750398	2.168295	1.187940	2.628167	0.417061	0.141305	0.378899	0.317262	1.116774	0.558736	0.902774	0.619621	1.978511	1.352792	0.280192	0.234889	0.000000	0.000000	0.832896	0.289584	0.430587	0.511051	1.877627	1.460035	0.000000	0.000000	0.178614	0.000000	0.461948	0.416448	0.575326
