"ERZ802819"	"ERS1871373"	"D1_S02_1L-s_R03"
"ERZ802821"	"ERS1871375"	"D1_S02_2,5L-s_R01.1"
"ERZ802822"	"ERS1871377"	"D1_S02_2,5L-s_R01.3"
"ERZ802824"	"ERS1871379"	"D1_S02_10L-s_R02"
"ERZ802826"	"ERS1871389"	"D1_S02_10L-m_R01"
"ERZ802827"	"ERS1871390"	"D1_S02_10L-m_R02"
"ERZ802829"	"ERS1871392"	"D1_S20_30L-m_R123"
"ERZ802830"	"ERS1871393"	"D1_S023_10L-m_R01"
"ERZ802831"	"ERS1871394"	"D1_S023_10L-m_R02"
"ERZ802832"	"ERS1871396"	"D1_S320_10L-m_R01"
"ERZ802834"	"ERS1871397"	"D1_S320_10L-m_R02"
"ERZ802836"	"ERS1871398"	"D1_S320_10L-m_R03"
"ERZ802838"	"ERS1871401"	"D1_S20_120L-m_R01"
"ERZ802840"	"ERS1871402"	"D1_S20_100L-m_R02"
"ERZ802844"	"ERS1871404"	"D1_S023_60L-m_R01"
"ERZ802846"	"ERS1871405"	"D1_S023_100L-m_R02"
"ERZ802847"	"ERS1871406"	"D1_S023_60L-m_R03"
"ERZ802849"	"ERS1871407"	"D1_S320_60L-m_R01"
"ERZ802851"	"ERS1871408"	"D1_S320_100L-m_R02"
"ERZ802853"	"ERS1871409"	"D1_S320_60L-m_R03"
"ERZ802855"	"ERS1871410"	"D1_S20_496L-m_R00"
"ERZ802859"	"ERS1871412"	"D1_S20_100L-m_R02"
"ERZ802861"	"ERS1871413"	"D1_S20_100L-m_R03"
"ERZ802864"	"ERS1871417"	"D1_S023_100L-m_R01"
"ERZ802866"	"ERS1871419"	"D1_S023_100L-m_R03"
"ERZ802870"	"ERS1871427"	"D1_S320_100L-m_R03"
"ERZ802872"	"ERS1871441"	"D2_S20_100L-m_R11"
"ERZ802873"	"ERS1871443"	"D2_S023_1000L-m_R00"
"ERZ806357"	"ERS1871371"	"D1_S02_1L-s_R01"
"ERZ806358"	"ERS1871372"	"D1_S02_1L-s_R02"
"ERZ806360"	"ERS1871374"	"D1_S02_10L-s_R01"
"ERZ806361"	"ERS1871376"	"D1_S02_2,5L-s_R01.2"
"ERZ806362"	"ERS1871378"	"D1_S02_2,5L-s_R01.4"
"ERZ806363"	"ERS1871384"	"D1_S02_10L-s_R03"
"ERZ806364"	"ERS1871391"	"D1_S02_10L-m_R03"
"ERZ806365"	"ERS1871395"	"D1_S023_10L-m_R03"
"ERZ806366"	"ERS1871403"	"D1_S20_60L-m_R03"
"ERZ806367"	"ERS1871411"	"D1_S20_100L-m_R01"
"ERZ806368"	"ERS1871416"	"D1_S023_496L-m_R00"
"ERZ806370"	"ERS1871418"	"D1_S023_100L-m_R02"
"ERZ806371"	"ERS1871422"	"D1_S320_496L-m_R00"
"ERZ806372"	"ERS1871423"	"D1_S320_100L-m_R01"
"ERZ806373"	"ERS1871426"	"D1_S320_100L-m_R02"
"ERZ806374"	"ERS1871430"	"D2_S20_1000L-m_R00"
"ERZ806375"	"ERS1871457"	"D2_S023_100L-m_R11"
"ERZ806376"	"ERS1871460"	"D2_S320_1000L-m_R00"
"ERZ806377"	"ERS1871471"	"D2_S320_100L-m_R11"
"ERZ806378"	"ERS1996199"	"D1_S20_776L-m_R00"
"ERZ806379"	"ERS1996200"	"D1_S023_716L-m_R00"
"ERZ806380"	"ERS1996201"	"D1_S320_716L-m_R00"
