Category	Function	PName	PClass
Metabolism	Global and overview maps	Metabolic pathways	Global metabolism
Metabolism	Global and overview maps	Biosynthesis of secondary metabolites	Global metabolism
Metabolism	Global and overview maps	Microbial metabolism in diverse environments	Global metabolism
Metabolism	Global and overview maps	Biosynthesis of antibiotics	Global metabolism
Metabolism	Global and overview maps	Carbon metabolism	Global metabolism
Metabolism	Global and overview maps	2-Oxocarboxylic acid metabolism	Global metabolism
Metabolism	Global and overview maps	Fatty acid metabolism	Global metabolism
Metabolism	Global and overview maps	Biosynthesis of amino acids	Global metabolism
Metabolism	Global and overview maps	Degradation of aromatic compounds	Global metabolism
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	Global metabolism
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	Global metabolism
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	Global metabolism
Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	Global metabolism
Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism	Global metabolism
Metabolism	Carbohydrate metabolism	Galactose metabolism	Global metabolism
Metabolism	Carbohydrate metabolism	Ascorbate and aldarate metabolism	Global metabolism
Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism	Global metabolism
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism	Global metabolism
Metabolism	Carbohydrate metabolism	Pyruvate metabolism	Global metabolism
Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism	Global metabolism
Metabolism	Carbohydrate metabolism	Propanoate metabolism	Global metabolism
Metabolism	Carbohydrate metabolism	Butanoate metabolism	Global metabolism
Metabolism	Carbohydrate metabolism	C5-Branched dibasic acid metabolism	Global metabolism
Metabolism	Carbohydrate metabolism	Inositol phosphate metabolism	Global metabolism
Metabolism	Energy metabolism	Oxidative phosphorylation	Energy metabolism (prok)
Metabolism	Energy metabolism	Photosynthesis	Energy metabolism (prok)
Metabolism	Energy metabolism	Photosynthesis - antenna proteins	Energy metabolism (prok)
Metabolism	Energy metabolism	Carbon fixation in photosynthetic organisms	Energy metabolism (prok)
Metabolism	Energy metabolism	Carbon fixation pathways in prokaryotes	Energy metabolism (prok)
Metabolism	Energy metabolism	Methane metabolism	Energy metabolism (prok)
Metabolism	Energy metabolism	Nitrogen metabolism	Energy metabolism (prok)
Metabolism	Energy metabolism	Sulfur metabolism	Energy metabolism (prok)
Metabolism	Lipid metabolism	Fatty acid biosynthesis	Lipid metabolism
Metabolism	Lipid metabolism	Fatty acid elongation	Lipid metabolism
Metabolism	Lipid metabolism	Fatty acid degradation	Lipid metabolism
