annot	ERR2098365	ERR2098366	ERR2098367	ERR2098368	ERR2098369	ERR2098370	ERR2098371	ERR2098372	ERR2098373	ERR2098374	ERR2098375	ERR2098376	ERR2098377	ERR2098378	ERR2098379	ERR2098380	ERR2098381	ERR2098382	ERR2098383	ERR2098384	ERR2098385	ERR2098386	ERR2098387	ERR2098388	ERR2098389	ERR2098390	ERR2098391	ERR2098392	ERR2098393	ERR2098394	ERR2098395	ERR2098396	ERR2098397	ERR2098398	ERR2098399	ERR2098400	ERR2098401	ERR2098402	ERR2098403	ERR2098404	ERR2098405	ERR2098406	ERR2098407	ERR2098408	ERR2098409	ERR2098410	ERR2098411	ERR2196983	ERR2196984	ERR2196985
COG0001	0.684860	0.635993	0.697987	0.695905	0.713445	0.695503	0.718594	0.690657	0.727299	0.730633	0.709149	0.718227	0.639619	0.775342	0.661876	0.747064	0.715427	0.862973	0.877012	0.915716	0.730380	0.709050	0.663361	0.699035	0.695017	0.660796	0.734803	0.758794	0.747379	0.733336	0.694703	0.706527	0.770602	0.670171	0.682906	0.670161	0.655221	0.712424	0.749266	0.760729	0.691064	0.620333	0.581334	0.620303	0.621238	0.705511	0.671211	0.728501	0.669905	0.732686
COG0002	0.644984	0.674813	0.630236	0.623516	0.634896	0.643334	0.637864	0.640142	0.653698	0.634895	0.672205	0.673439	0.624119	0.621117	0.653578	0.707488	0.657392	0.522507	0.528655	0.475288	0.603573	0.535967	0.650628	0.585230	0.605439	0.673784	0.636985	0.623277	0.637369	0.598604	0.596664	0.580678	0.597722	0.699513	0.689820	0.699352	0.690057	0.601987	0.639047	0.628283	0.630179	0.529331	0.582774	0.735853	0.685707	0.580970	0.591222	0.601888	0.688765	0.639350
COG0003	0.065383	0.053256	0.069600	0.072403	0.088412	0.056211	0.070342	0.062993	0.068143	0.064997	0.116084	0.089805	0.055443	0.273647	0.044441	0.065419	0.076219	0.300418	0.382622	0.432475	0.199228	0.226964	0.259124	0.045282	0.039694	0.039928	0.118340	0.152019	0.145356	0.202862	0.200326	0.254538	0.189365	0.042035	0.048888	0.034991	0.035032	0.132701	0.140335	0.169417	0.095547	0.246591	0.260995	0.037479	0.039510	0.213746	0.180392	0.229191	0.041637	0.129631
COG0004	1.884377	1.834932	1.829858	1.927292	1.963931	1.936095	1.872071	1.916713	1.919533	1.918458	1.685608	1.734389	1.816825	1.379512	1.772878	1.763913	1.860490	1.661359	1.718809	1.642009	1.609265	1.442913	1.508283	1.990946	1.885052	1.771645	1.663143	1.640901	1.675037	1.418415	1.469025	1.395271	1.605612	1.680797	1.737427	1.702275	1.712919	1.741403	1.690206	1.707499	1.671198	1.696859	1.821308	1.787621	1.762882	1.672799	1.672064	1.467227	1.767350	1.712500
COG0005	0.404519	0.396212	0.396440	0.417815	0.399919	0.395948	0.392888	0.409256	0.397791	0.404516	0.385596	0.404772	0.395678	0.389460	0.407641	0.420288	0.390586	0.345014	0.343609	0.486905	0.358753	0.399953	0.349060	0.385478	0.385833	0.398868	0.382409	0.397891	0.415971	0.366425	0.374949	0.366222	0.393038	0.364120	0.377699	0.391839	0.379026	0.376972	0.400367	0.373681	0.396976	0.423930	0.400109	0.343087	0.342665	0.369084	0.353598	0.381884	0.388806	0.399292
COG0006	2.098299	2.123167	2.131668	2.094963	2.108211	2.118568	2.108570	2.116320	2.081315	2.163353	1.923322	1.994833	2.084778	1.186045	2.129855	2.158057	2.087313	1.491185	1.498044	1.423031	1.436379	1.317511	1.252563	2.102289	2.075007	2.145058	1.951948	1.856216	1.921648	1.431737	1.325842	1.245736	1.535710	2.051523	2.033060	2.150437	2.116474	1.933844	1.852254	1.831385	1.976784	1.247415	1.209247	2.001518	1.977090	1.553743	1.665439	1.404647	2.119059	1.862432
COG0007	0.178399	0.176579	0.198350	0.201810	0.216626	0.173580	0.219756	0.176552	0.211590	0.217589	0.202203	0.197950	0.151068	0.129653	0.171478	0.230061	0.178799	0.257237	0.268839	0.299028	0.166979	0.165851	0.157077	0.182188	0.170465	0.173895	0.217558	0.222771	0.202575	0.168316	0.130950	0.163780	0.208327	0.152905	0.151184	0.145949	0.139317	0.212816	0.196858	0.226244	0.164438	0.110875	0.096041	0.166998	0.154408	0.200375	0.172162	0.173992	0.170891	0.207083
COG0008	1.482330	1.489546	1.571393	1.509050	1.538837	1.513364	1.564917	1.504054	1.572976	1.587296	1.485852	1.489380	1.445548	1.107354	1.562460	1.684899	1.442043	1.539286	1.520838	1.320300	1.300216	1.223701	1.104429	1.513204	1.511012	1.500448	1.560130	1.553937	1.568163	1.286826	1.374675	1.165684	1.370219	1.467668	1.509237	1.500244	1.470875	1.482018	1.464370	1.511891	1.478794	1.070449	1.079960	1.478935	1.450442	1.421720	1.420870	1.284771	1.509502	1.508676
COG0009	0.652551	0.672053	0.661088	0.677896	0.659802	0.683623	0.679190	0.658796	0.717624	0.686805	0.647817	0.680333	0.617975	0.326718	0.666767	0.721147	0.647655	0.540120	0.498823	0.419229	0.543820	0.418084	0.322568	0.634966	0.654266	0.707898	0.648851	0.635057	0.630652	0.436290	0.449627	0.411270	0.549266	0.699267	0.685863	0.698255	0.701552	0.662798	0.625708	0.616224	0.640040	0.317795	0.340243	0.728614	0.728138	0.545228	0.582071	0.472799	0.710174	0.636577
COG0010	0.959454	0.945127	0.994561	0.963869	0.983874	0.980835	1.008284	0.954522	1.000665	0.984575	0.864091	0.903730	0.923054	0.887244	0.945141	0.981190	0.912468	0.592835	0.595940	0.579986	0.672850	0.585106	0.614747	0.946124	0.915804	0.939573	0.900019	0.800350	0.868094	0.695182	0.757651	0.715479	0.798697	0.888534	0.912061	0.905269	0.895124	0.857542	0.866681	0.821641	0.880947	0.771507	0.816059	0.899318	0.882269	0.728900	0.748291	0.703474	0.911768	0.857560
