MAG Id;Sample;Accession;CheckM Completeness;CheckM Contamination;CheckM Strain heterogeneity;Anvio Completion;Anvio Redundancy;GTDB Taxonomy;Checkm Taxonomy;Anvio Domain;Dereplication Cluster;Representative MAG;Genome size;# scaffolds;N50 (scaffolds);Longest scaffold;# ambiguous bases;# predicted genes;Translation table;Coding density;GC Content;GC Content (sd);High Quality;EMOSE_N010000413;EMOSE_N010000990;EMOSE_N010000419;EMOSE_N020000414;EMOSE_N010000414;EMOSE_N010000416;EMOSE_N010000415;EMOSE_N010000417;EMOSE_N030000421;EMOSE_N030000991;EMOSE_N010000418;EMOSE_N010000424;EMOSE_N010000407;EMOSE_N010000368;EMOSE_N010000401;EMOSE_N010000995;EMOSE_N010000372;EMOSE_N010000405;EMOSE_N010000411;EMOSE_N020000340;EMOSE_N010000340;EMOSE_N010000344;EMOSE_N010000346;EMOSE_N020000684;EMOSE_N030000829;EMOSE_N040000340
ETHSEQ0000004021_metabat2_a26.c2k.e500.21;EMOSE_N010000413;ERR2098365;59,85;7,84;11,76;69,78;18,71;"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SAR86;f__SAR86;g__;s__";c__Gammaproteobacteria;BACTERIA (0.6);70_0;ETHSEQ0000004021_metabat2_a26.c2k.e500.21.fa;1028712;301;3504;10362;60;1249;11;0,962849661;0,359922501;0,018315141;FALSO;7,159686711;8,170694086;6,168321296;8,07082495;5,562140465;9,596387176;5,277431761;8,708328073;7,763068339;8,021393355;3,337208392;4,251708771;13,13370804;11,04314897;5,423236578;6,707475216;13,31350047;16,18645718;11,44354502;13,65403123;11,42927528;13,13597429;12,73700359;3,545455485;4,799097442;22,88584688
ETHSEQ0000004031_metabat2_a26.c2k.e500.20;EMOSE_N010000418;ERR2098375;94,7;0,56;25;93,53;2,16;"d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp002500205";p__Cyanobacteria;BACTERIA (0.9);75_1;ETHSEQ0000004022_metabat2_a26.c2k.e500.33.fa;1909759;92;35940;105830;2400;2160;11;0,888970284;0,546342875;0,027362478;VERDADERO;41,26873261;45,24705978;55,42676848;71,44866739;52,7728913;62,54887826;54,07835435;60,57952065;86,67590217;84,73750978;28,88879783;40,78404457;75,23658913;83,61071739;99,43570652;33,83511957;71,76314891;83,5978413;64,13753043;74,85687717;74,17488261;69,74470435;58,74618913;34,27741413;37,53672717;139,4201152
ETHSEQ0000004064_metabat2_a26.c2k.e500.37;EMOSE_N020000684;ERR2098408;93,75;0,05;100;92,09;2,16;"d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp002500205";p__Cyanobacteria;BACTERIA (0.9);75_1;ETHSEQ0000004022_metabat2_a26.c2k.e500.33.fa;1913306;76;49105;159434;4300;2167;11;0,884611766;0,546216198;0,029681605;VERDADERO;42,30761711;46,30688289;56,92136316;72,99241974;54,20545526;64,45363158;55,87149211;62,09491842;88,71827763;86,80517763;29,54639079;41,74341842;76,63647105;85,29336842;102,3711855;34,73629605;73,26876184;85,82125921;65,77928684;76,68217763;75,96548421;71,60288553;59,94706974;35,79311053;38,41599342;142,434
ETHSEQ0000004022_metabat2_a26.c2k.e500.33;EMOSE_N010000990;ERR2098366;95,79;0,14;0;94,96;1,44;"d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp002500205";p__Cyanobacteria;BACTERIA (0.9);75_1;ETHSEQ0000004022_metabat2_a26.c2k.e500.33.fa;1935440;84;41853;157372;4200;2176;11;0,887135742;0,547336426;0,029905238;VERDADERO;41,61421071;45,60548571;55,98827262;72,20180238;53,15100952;63,30589167;55,15686071;61,14140833;87,67781786;85,47926429;29,21981429;40,88147262;75,19644167;83,69113214;100,777744;34,19034048;72,08808929;84,219775;64,55342857;75,07854405;74,61489524;70,25670714;58,95941429;34,86403929;37,85517262;140,3215321
ETHSEQ0000004044_metabat2_a26.c2k.e500.54;EMOSE_N010000372;ERR2098388;92,66;0,27;0;92,81;1,44;"d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp002500205";p__Cyanobacteria;BACTERIA (0.9);75_1;ETHSEQ0000004022_metabat2_a26.c2k.e500.33.fa;1907908;83;61825;266792;2500;2142;11;0,892627946;0,547735708;0,028207714;VERDADERO;40,83714458;44,57380723;55,37787349;71,15627711;52,62738554;62,42055783;54,70058193;60,31460964;86,70151687;84,16121325;28,62722289;40,18985663;73,4910759;82,05159518;99,9327988;33,58925181;70,93207229;82,63765783;63,51906386;74,03993614;73,29488795;68,82306747;57,64376145;34,92286867;37,54919277;137,9796349
ETHSEQ0000004026_metabat2_a26.c2k.e500.35;EMOSE_N010000416;ERR2098370;94,16;0,14;100;93,53;2,16;"d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp002500205";p__Cyanobacteria;BACTERIA (0.9);75_1;ETHSEQ0000004022_metabat2_a26.c2k.e500.33.fa;1943997;95;35844;111283;4000;2198;11;0,88785065;0,546819918;0,031246613;VERDADERO;40,95096632;44,74130211;55,24281474;70,81047474;52,32596421;62,63455263;54,42199684;60,06985053;86,24479368;84,41314947;28,78552211;40,36185789;73,92812421;82,47509895;99,83735263;33,56875263;70,79650421;82,79190421;63,80661474;74,27488737;73,61914421;68,83573053;57,91165158;35,09683684;37,94312421;138,2490084
ETHSEQ0000004029_metabat2_a26.c2k.e500.27;EMOSE_N030000421;ERR2098373;93,52;0,27;100;92,81;2,16;"d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp002500205";p__Cyanobacteria;BACTERIA (0.9);75_1;ETHSEQ0000004022_metabat2_a26.c2k.e500.33.fa;1894592;93;36959;102956;3200;2153;11;0,892778498;0,546900907;0,030799119;VERDADERO;41,47082258;45,66233763;56,08979247;72,20846129;53,31660968;63,42386129;55,28885806;61,27287204;87,49692473;85,41427419;29,0499086;40,88385806;75,70435269;84,00889677;100,8489;34,27735699;72,19813441;84,36935699;64,66346989;75,42406022;74,81308172;70,20542796;58,98855699;34,92994516;37,7332086;140,1003419
ETHSEQ0000004032_metabat2_a26.c2k.e500.24;EMOSE_N010000424;ERR2098376;91,98;0,41;50;94,96;1,44;"d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp002500205";p__Cyanobacteria;BACTERIA (0.9);75_1;ETHSEQ0000004022_metabat2_a26.c2k.e500.33.fa;1848049;70;58108;159185;3010;2068;11;0,892560208;0,548120663;0,024525276;VERDADERO;41,95419429;46,01673571;56,91687;73,07225286;53,99261857;64,03486571;56,16890857;61,81960286;89,29274714;86,51922571;29,32182429;41,39380429;76,10956;84,46166286;102,5067257;34,47802286;73,14619571;85,32861;65,53204714;75,98885571;75,71396;70,70816714;59,29836;35,04035857;38,09678429;142,17856
ETHSEQ0000004056_metabat2_a26.c2k.e500.51;EMOSE_N010000344;ERR2098400;93,39;0;0;92,81;1,44;"d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp002500205";p__Cyanobacteria;BACTERIA (1.0);75_1;ETHSEQ0000004022_metabat2_a26.c2k.e500.33.fa;1911355;82;43283;105466;3500;2175;11;0,888016616;0,547226073;0,032470258;VERDADERO;41,28508415;45,28849634;55,81137561;71,78699268;52,97001098;63,04635366;54,7407378;60,70112927;87,1961061;84,88589146;28,91261829;40,7488622;74,65371585;83,21045;100,2780256;33,96887561;71,54448049;83,6380378;64,05438415;74,88677683;74,10246341;69,9076122;58,46704146;34,86498537;37,46214268;139,4832988
ETHSEQ0000004025_metabat2_a26.c2k.e500.24;EMOSE_N010000414;ERR2098369;94,29;0,32;100;92,81;1,44;"d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp002500205";p__Cyanobacteria;BACTERIA (0.9);75_1;ETHSEQ0000004022_metabat2_a26.c2k.e500.33.fa;1938265;89;41959;135292;3200;2203;11;0,889364973;0,546199223;0,032337937;VERDADERO;41,25082135;45,19104831;55,3795809;71,58578876;52,98660449;62,76756966;54,70779438;60,53305393;86,86232472;84,90560225;28,81380674;40,58435056;74,68187753;83,00184607;99,44006292;34,00731573;71,13008652;83,26626629;63,86457865;74,46346966;73,84335281;69,42844382;58,34012584;34,53640899;37,27408315;139,1451483
ETHSEQ0000004035_metabat2_a26.c2k.e500.110;EMOSE_N010000368;ERR2098379;92,62;0;0;92,09;1,44;"d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp002500205";p__Cyanobacteria;BACTERIA (0.9);75_1;ETHSEQ0000004022_metabat2_a26.c2k.e500.33.fa;1912384;80;36100;134332;3300;2150;11;0,889009739;0,547125218;0,028451626;VERDADERO;42,04223375;45,9085875;56,8886125;73,07019;53,92522125;63,9488575;55,87230125;61,58282125;88,5389425;86,65771875;29,45407875;41,5359175;75,80643625;84,66519125;102,43237;34,6335725;72,7850725;85,0842075;65,504185;76,17112;75,41405;70,7451475;59,44127875;35,740025;38,88700125;142,0568875
ETHSEQ0000004024_metabat2_a26.c2k.e500.78;EMOSE_N020000414;ERR2098368;92,39;1,36;16,67;92,09;2,88;"d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp002500205";p__Cyanobacteria;BACTERIA (0.9);75_1;ETHSEQ0000004022_metabat2_a26.c2k.e500.33.fa;1904581;85;37798;133877;2500;2139;11;0,892717086;0,547858898;0,025293596;VERDADERO;42,16680588;46,00364;56,7795;73,54603647;54,42990471;64,36589529;56,24474;62,02489176;89,14481765;87,14497882;29,50243412;41,60772588;76,13024706;85,01700471;102,9664882;34,66012824;72,89340471;85,06509882;65,88410471;76,37933412;75,54727882;71,05206118;59,49070471;35,91534588;38,81424588;142,5847035
ETHSEQ0000004033_metabat2_a26.c2k.e500.36;EMOSE_N010000407;ERR2098377;92,66;0,05;100;89,21;1,44;"d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp002500205";p__Cyanobacteria;BACTERIA (0.9);75_1;ETHSEQ0000004022_metabat2_a26.c2k.e500.33.fa;1857308;86;38962;139800;2800;2080;11;0,893265414;0,548265632;0,024508965;VERDADERO;42,3468814;46,35718605;57,14031395;73,76061512;54,55160233;64,89811163;56,50000116;62,36967326;89,64129535;87,59181512;29,64693256;41,68600349;76,55904651;85,17646395;103,0050849;34,95794302;73,48022209;85,80349767;66,03057907;76,76132558;75,99873372;71,29368488;59,8592093;35,45238721;38,56242326;143,018314
